   1.06016350      0.664040029      0.863053977       1.25727296      0.633064330      0.716066420    
   1.91677153      0.749695003       1.25727296       2.57627010      0.724614799      0.781493187    
   2.79233956      0.707557023       2.57627010       3.00840902      0.692179322      0.732409418    
   3.72355151      0.692798972       3.48171997       3.96538305      0.679530263      0.711387455    
   4.07387352      0.708054006       3.96538305       4.18236399      0.691809118      0.734677792    
   4.46773005      0.693050027       4.18236399       4.75309610      0.689243555      0.701159537    
   4.83637333      0.707503021       4.75309610       4.91965008      0.695145309      0.730367720    
   5.02554798      0.708070993       4.91965008       5.13144588      0.708070993      0.708070993    
   5.38935566      0.731380999       5.13144588       5.64726591      0.712539196      0.753310919    
   5.86173201      0.742703974       5.64726591       6.07619810      0.726476550      0.777963459    
